Q,Answer
mobile internet plans menu,you can call me any time  my number is 1234
my prepaid tarrif,*113#
embedded minutes balance,*116*1#
embedded internet,*116*2#
embdded sms,*116*2#
recharge line,*114#
recharge another number,*115#
zain services menu,*111#
puk code,*174#
zain cash,*999#
give me your number,you can call us  any time just  press: 1234
how i can get a free 1 gb,you can get it by downloading zain app
data wallet,it is the balance which is recharged from broadband vouchers or mix vouchers and could be used for data only
private number,*132#
shut up,please behave
mobile subscriptions,mobile subscriptions  : mohafazat or  bila hudud or mish tabi3i type the name of the  subscriptions to see the informations
 subscriptions,whant to know about our mobile or internet  subscriptions ?
mish tabi3i,Internet Bundle: 8 GB + Internet Bundle For Governorates? : 4GB + Facebook  : 6 GB+ Minutes for Zain Users : 5000+ Minutes for other Zain Users :1000 +Local SMS :300
mohafazat,Internet Bundle -In Zone: 8GB + ?????Internet Bundle Out-zone: 1 GB + Facebook: 6 GB + Minutes to Zain Users -In Zone??: 9000 + Minutes to Zain Users  -Out-zone:3000
turbo,Internet Bundle: 15 GB + ????Internet Bundle For Governorates? :8 GB + Minutes for Zain Users :10000 + Local SMS : 400? + Facebook Bundle: 6 GB
internet  subscriptions,whant to know about 4g or viber internet  subscriptions ?
4g,"With the fastest internet connection and the largest Internet coverage across the Kingdom, Zain provides you with LTE speeds!  ?This technology is available through a range of products and services that specifically meet the needs of individual and home-users based on mobility levels and speed ranges. price : 16 jod , speed : 10mgbs , cabacity : 100gb "
viber,"Zain Fiber is a high-speed internet service; unique in its End-to-End Fiber infrastructure and completely insulated from environmental interferences. This guarantees high quality connection and a great experience which enables users to enjoy uninterrupted smart home solutions such as cameras and entertainment through the internet like streaming movies, TV series, games and much more. price : 20 jod , speed : 80mgbs , cabacity : unlimited"
service codes,"mobile internet plans menu  , my prepaid tarrif  , embedded minutes balance ,embedded internet , embdded sms ,recharge line ,recharge another number , zain services  menu , puk code , zain cash, call zain ,  how i can get a free 1 gb , data wallet ,  private number code"
how are you ?,im fine what about you ?
give me free net please ,guess the missed number : 1123991x22314 and charge it ^_^ 
how are you ,fine 
working hours ,every day from 10:00am  to 8:00pm
place,on the internet 
programing language,python
hate,I hate calculas
how old are you ?,1 mounth since the starting day of the upskilling program
im fine|fine,good ^_^
good,nice
internet,viber or 4g  ?
ko,ko
fd,fg
what is my name ?,i think you must know your name 
how to close | how to end,just press end or close
goal,goal
messi,ronaldo
ronaldo,messi
hhahaha,your smile make me happy *_*
hahaha,your smile make me happy
hhhhhhhhhhhhh,your smile make me happy
ha,do you mean what ?
do you know dr yazeed ?,python instructor ??
batool,lena
waht is zain ?,Mobile Telecommunications Company K.S.C.P
yes,what ?
how to stop ?,just press end or close
where are you from ?,im from jordan
where do you live ?,in jordan
where is jordan ?,in asia
how to contact you ?,call me on 1234 
winston,smoke
ok,ok ?
welcome,you too ^_^
ohh nice,nice to meet you
mmm,about what are you thinking ?
bye,bye ^_^
how to sub scripe ?,for mohafazat press *112# + for bila hudood press *300# + for mish tabi3i press *100#
close,press end
